"","Little Grebe","Great Crested Grebe","Grey Heron","White Stork","Mute Swan","Greylag Goose","Mallard","Common Merganser","European Honey Buzzard","Red Kite","Black Kite","Northern Goshawk","Eurasian Sparrowhawk","Common Buzzard","Golden Eagle","Peregrine Falcon","Eurasian Hobby","Common Kestrel","Western Capercaillie","Black Grouse","Rock Ptarmigan","Hazel Grouse","Rock Partridge","Common Quail","Common Pheasant","Water Rail","Common Moorhen","Eurasian Coot","Northern Lapwing","Common Sandpiper","Eurasian Woodcock","Yellow-legged Gull","Feral Pigeon","Stock Dove","Common Wood Pigeon","European Turtle Dove","Eurasian Collared Dove","Common Cuckoo","Scops Owl","Eurasian Pygmy Owl","Tawny Owl","Long-eared Owl","Boreal Owl","Alpine Swift","Common Swift","Common Kingfisher","Eurasian Wryneck","European Green Woodpecker","Grey-headed Woodpecker","Black Woodpecker","Great Spotted Woodpecker","Middle Spotted Woodpecker","Lesser Spotted Woodpecker","Eurasian Three-toed Woodpecker","Woodlark","Eurasian Skylark","Barn Swallow","Eurasian Crag Martin","Common House Martin","Eurasian Golden Oriole","Northern Raven","Carrion/Hooded Crow","Rook","Western Jackdaw","Eurasian Magpie","Spotted Nutcracker","Eurasian Jay","Red-billed Chough","Alpine Chough","Great Tit","Blue Tit","Coal Tit","European Crested Tit","Marsh Tit","Willow Tit","Long-tailed Bushtit","Eurasian Nuthatch","Eurasian Treecreeper","Short-toed Treecreeper","Wallcreeper","White-throated Dipper","Winter Wren","European Robin","Common Nightingale","Black Redstart","Common Redstart","Whinchat","Eurasian Stonechat","Northern Wheatear","Rufous-tailed Rock Thrush","Ring Ouzel","Common Blackbird","Fieldfare","Song Thrush","Mistle Thrush","Common Grasshopper Warbler","Savi's Warbler","Eurasian Reed Warbler","Marsh Warbler","Melodious Warbler","Icterine Warbler","Eurasian Blackcap","Garden Warbler","Common Whitethroat","Lesser Whitethroat","Willow Warbler","Common Chiffchaff","Western Bonelli's Warbler","Wood Warbler","Goldcrest","Firecrest","Spotted Flycatcher","European Pied Flycatcher","Collared Flycatcher","Dunnock","Alpine Accentor","Meadow Pipit","Tawny Pipit","Tree Pipit","Water Pipit","White Wagtail","Grey Wagtail","Western Yellow Wagtail","Red-backed Shrike","Common Starling","House Sparrow","Italian Sparrow","Eurasian Tree Sparrow","White-winged Snowfinch","Hawfinch","European Greenfinch","European Goldfinch","Eurasian Siskin","Common Linnet","Lesser Redpoll","Citril Finch","European Serin","Eurasian Bullfinch","Red Crossbill","Common Chaffinch","Corn Bunting","Yellowhammer","Cirl Bunting","Rock Bunting","Common Reed Bunting"
"Q001",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,2,0,0,3,3,0,0,0,0,0,2,0,3,0,0,0,3,0,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,2,0,0,0,0,0
"Q002",0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,2,0,2,0,0,3,0,0,0,0,2,0,0,3,3,0,0,0,0,0,3,0,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,2,0,0,3,0,0,0,0,0
"Q003",0,0,0,0,0,0,3,0,1,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,2,0,0,3,0,0,0,0,2,0,0,3,2,3,3,3,3,1,2,1,0,0,0,3,3,0,3,0,1,0,0,0,1,3,3,3,3,0,0,0,2,0,0,3,0,0,0,3,3,0,1,3,3,0,0,0,2,0,0,0,3,0,3,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,3,1,3,0,0,0,0,2
"Q004",0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,2,0,1,0,0,3,0,0,3,0,2,0,0,3,3,3,1,0,0,0,0,0,1,0,0,3,2,0,3,1,0,0,0,0,0,3,0,1,2,0,0,1,0,0,0,3,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,2,1,0,0,0,0,2,0,0,3,0,3,0,0,0
"Q005",0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,3,2,3,3,1,1,0,3,2,0,0,0,3,3,0,3,0,0,0,0,0,2,3,3,3,3,0,0,0,0,0,0,2,1,0,0,1,2,0,1,3,3,0,0,0,2,0,0,0,0,0,3,0,0,1,3,1,0,0,0,0,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0
"Q006",0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,3,0,1,0,0,3,0,0,3,0,1,0,0,3,3,0,0,1,0,0,2,0,2,0,0,0,3,0,3,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,2,0,0,2,3,0,3,0,0,3,0,0,3,1,3,0,0,0
"Q007",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,2,0,2,0,1,3,0,0,3,0,3,0,0,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,3,2,0,2,0,0,1,0,0,3,0,3,0,0,0
"Q008",0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,1,1,3,0,0,0,0,3,0,0,3,3,3,2,2,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,3,0,0,0,2,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,3,0,0,0
"Q009",0,0,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,3,3,0,2,0,0,3,0,0,2,0,0,0,0,3,3,0,0,1,0,1,2,2,2,0,0,1,3,0,3,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,3,0,0,2,3,0,2,0,0,0,0,0,3,0,3,0,0,0
"Q010",0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,3,0,0,3,3,3,3,2,0,1,2,0,2,0,0,3,3,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,3,0,0,0
"Q011",0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,3,0,0,1,0,3,0,0,3,2,3,0,2,1,0,0,2,0,0,0,3,3,0,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,0,0,0,1,2,0,1,1,3,0,0,0,1,0,0,0,0,0,3,0,0,1,3,2,0,0,0,0,0,3,0,0,0,0,0,3,1,3,0,2,0,0,0
"Q012",0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,3,3,3,2,3,0,0,3,2,1,0,0,3,3,0,3,0,0,0,0,0,0,3,2,3,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,2,0,1,0,0,0,0,0,3,0,0,0,3,3,0,2,0,2,2,0,0,0,0,0,1,2,0,3,0,3,0,0,0
"Q013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,3,1,3,0,0,1,3,0,0,0,3,3,0,2,1,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,1,0,1,3,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Q014",0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,0,2,0,2,0,0,3,0,0,3,0,2,0,0,3,3,1,2,2,0,3,3,0,2,0,0,3,3,0,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,3,1,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,2,0,1,0,0,0,0,0,3,0,3,1,0,0
"Q015",0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,3,3,0,0,2,0,3,0,0,0,0,2,0,0,3,3,2,2,3,0,1,3,1,3,0,0,3,2,0,2,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,3,1,0,0,0,3,0,0,2,3,1,0,0,3,0,0,0,0,0,3,0,0,0,3,2,0,3,0,0,1,2,0,0,0,0,1,0,0,3,0,3,0,0,0
"Q016",0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,3,2,3,0,1,0,0,1,2,2,0,0,3,3,0,3,1,0,0,0,0,0,3,3,3,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,2,0,3,0,0,0,0,0
"Q017",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,3,3,0,0,0,1,3,0,0,0,0,3,0,0,3,3,2,1,3,0,2,3,1,0,0,0,3,3,0,3,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,0,3,1,0,0,0,3,0,0,2,3,0,0,0,2,0,0,0,0,0,3,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,3,0,0,0
"Q018",0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,1,2,0,0,1,3,2,0,0,3,2,3,1,2,0,0,1,3,1,0,0,3,3,0,3,3,0,0,0,0,2,3,2,3,3,0,0,0,0,0,0,3,0,0,0,0,3,2,0,3,3,0,1,0,3,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0,0,2,0,3,0,3,0,0,0
"Q019",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,3,0,0,3,3,3,3,2,3,0,1,3,0,0,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,2,3,3,1,0,0,3,0,0,0,3,0,3,0,0,0,2,0,0,0,0,2,1,3,1,0,0,0,0,3,1,3,0,0,0,0,0
"Q020",0,0,0,0,0,0,3,0,1,1,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,3,0,0,3,3,3,2,2,0,0,2,1,3,0,0,3,3,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,1,0,0,0,0,0,3,1,0,0,2,3,0,1,0,1,3,1,0,0,0,0,1,1,0,3,0,0,0,0,0
"Q021",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,1,3,0,0,3,0,3,0,0,3,3,2,0,2,0,2,3,1,3,0,1,3,3,0,3,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,3,1,0,0,3,3,0,0,0,0,3,1,0,0,0,0,1,0,0,3,0,0,0,0,0
"Q022",0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,3,3,2,2,0,0,0,1,1,0,0,0,2,2,0,3,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,2,0,0,2,1,0,1,0,0,0,0,1,3,0,3,0,0,0
"Q023",0,0,0,0,0,0,0,0,1,2,1,0,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,3,0,0,3,3,3,3,3,0,1,3,1,2,0,0,3,3,0,1,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,1,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,3,0,1,1,1,0,1,0,0,0,0,0,3,0,3,0,0,0
"Q024",0,0,0,0,3,0,2,0,0,1,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,2,0,0,1,3,0,0,2,0,2,0,0,3,3,0,0,2,0,2,3,0,3,0,0,1,2,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,2,0,0,3,3,0,1,0,0,0,0,0,3,0,0,0,0,0
"Q025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,3,0,3,3,0,3,0,1,3,0,0,0,3,3,0,3,0,0,0,0,0,3,3,0,3,1,0,0,0,0,0,0,3,1,0,0,0,3,1,0,3,3,0,0,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,3,0,0,0,0,0
"Q026",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,2,0,1,3,1,0,0,0,0,1,0,3,0,0,3,0,0,2,0,0,0,0,3,3,3,1,3,0,2,3,3,3,0,0,3,3,1,3,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,3,2,0,0,0,3,0,0,1,3,2,2,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,2,3,0,0,1,0,0,3,0,0,3,0,0,0,0,0
"Q027",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,3,0,0,3,0,0,1,0,1,0,0,3,1,3,3,2,1,0,2,2,2,0,0,3,3,0,3,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,3,2,0,0,3,0,0,0,0,0,3,0,0,0,2,3,0,0,0,1,3,3,1,1,0,0,3,2,3,3,0,3,0,0,0
"Q028",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,0,3,1,3,3,0,0,0,2,1,0,0,0,3,3,0,2,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,3,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,3,1,3,0,0,0,0,0
"Q029",0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,2,0,0,3,3,1,1,2,0,0,2,0,0,0,0,3,3,0,3,0,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,3,0,1,0,0,0,0,0,0,0,3,1,0,0,2,3,0,2,0,0,1,1,0,2,0,0,0,0,2,3,0,0,0,0,0
"Q030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
